trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.05333315427798,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.6441535360854,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.32303912227003,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.55849353407692,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.874261693590164,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.35025638678542,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,16,5.624880695408413,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,2,-104.53560703893272,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-294.5364760307028,"{0: 14, 1: 8, 2: 7, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.56686893910924,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.9321895267732,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.20296485226831,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.77408414506561,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-119.71201149428623,"{0: 23, 1: 7, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.91645645472741,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.796050537259475,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.43880128108456,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.13159211816708,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.40329073387753,"{0: 10, 1: 8, 2: 8, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.324857212998,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-188.47428030792017,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.66481295226619,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.5478705340462,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.97706580892712,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.4995397108974,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,14,-32.65763325596507,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.16906526156117,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-238.32842202092172,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.81482191776686,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-172.34309886728786,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
